,case,location,date,summary,fatalities,injured,total_victims,place,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,sources,mental_health_sources,sources_additional_age,latitude,longitude,type,year,s#
34,Odessa-Midland shooting spree,"Odessa, Texas",2019-08-31,"Seth A. Ator, 36, fired at police officers who stopped him for a traffic violation, and then went on a driving rampage in the Odessa-Midland region, where he also shot a postal worker and stole her vehicle. He was shot dead by law enforcement responding to the rampage. Ator had been fired from a job just prior to the attack (though per the FBI he had shown up to that job ""already enraged""). He had a criminal record and ""a long history of mental problems and making racist comments,"" according to a family friend who spoke to the media.",7,25,32,Other,36,yes,"""One friend of the family said the gunman had a long history of mental problems, trouble with the law and making racist comments,"" according to a report in the New York Times.",-,-,semiautomatic rifle,-,White,M,https://www.washingtonpost.com/politics/5-killed-21-injured-after-suspect-hijacked-a-mail-truck-in-odessa-texas/2019/08/31/f659da2c-cc3c-11e9-be05-f76ac4ec618c_story.html; https://www.chron.com/news/texas/article/Police-Multiple-gunshot-victims-from-Texas-14404855.php; https://www.nytimes.com/2019/09/01/us/death-toll-texas-shooting.html; https://www.washingtonpost.com/nation/2019/09/02/texas-gunman-who-killed-was-fired-job-day-rampage/; https://www.cnn.com/2019/09/02/us/west-texas-shooting-monday/index.html,https://www.nytimes.com/2019/09/02/us/texas-gunman-odessa-midland.html,-,31.925974,-102.2796,Spree,2019.0,
35,Dayton entertainment district shooting,"Dayton, Ohio",2019-08-04,"Connor Betts, 24, died during the attack, following a swift police response. He wore tactical gear including body armor and hearing protection, and had an ammunition device capable of holding 100 rounds. Betts had a history of threatening behavior dating back to high school, including reportedly having hit lists targeting classmates for rape and murder.",9,27,36,Other,24,-,-,Yes,-,semiautomatic rifle,"AR-15-style rifle, with a 100-round capacity ammunition drum",White,M,https://www.nytimes.com/2019/08/04/us/dayton-ohio-shooting.html; https://www.nytimes.com/2019/08/04/us/mass-shootings-dayton-el-paso.html; https://www.washingtonpost.com/nation/2019/08/04/nine-fatally-shot-dayton-including-suspect-day-after-mass-shooting-texas/; https://www.washingtonpost.com/national/police-chief-it-seems-to-defy-believability-that-dayton-shooter-would-kill-his-own-sister/2019/08/05/920a895c-b79e-11e9-b3b4-2bb69e8c4e39_story.html; https://www.cnn.com/2019/08/05/us/connor-betts-dayton-shooting-profile/index.html,-,-,39.757312,-84.184947,Mass,2019.0,
36,El Paso Walmart mass shooting,"El Paso, Texas",2019-08-03,"Patrick Crusius, 21, who was apprehended by police, posted a so-called manifesto online shortly before the attack espousing ideas of violent white nationalism and hatred of immigrants. ""This attack is a response to the Hispanic invasion of Texas,"" he allegedly wrote in the document.",22,26,48,Workplace,21,-,-,Yes,-,semiautomatic rifle,"AK-47-style rifle, per authorities",White,M,https://www.washingtonpost.com/nation/2019/08/04/investigators-search-answers-after-gunman-kills-el-paso/; https://www.nytimes.com/2019/08/04/us/mass-shootings-dayton-el-paso.html; https://www.apnews.com/5fb2144947974631912d1efa889f932b,-,-,31.771068,-106.375655,Mass,2019.0,
37,Gilroy garlic festival shooting,"Gilroy, California",2019-07-28,"Santino William LeGan, 19, fired indiscriminately into the crowd near a concert stage at the festival. He used an AK-47-style rifle, purchased legally in Nevada three weeks earlier. After apparently pausing to reload, he fired additional multiple rounds before police shot him and then he killed himself. A witness described overhearing someone shout at LeGan, ""Why are you doing this?"" LeGan, who wore camouflage and tactical gear, replied: “Because I'm really angry."" The murdered victims included a 13-year-old girl, a man in his 20s, and six-year-old Stephen Romero.",3,12,15,Other,19,TBD,-,Yes,"Nevada, on July 9",semiautomatic rifle,"AK-47-style rifle, per authorities",-,M,https://www.cbsnews.com/live-news/garlic-festival-mass-shooting-gilroy-california-victims-suspect-santino-william-legan-live-updates/; https://www.sfgate.com/news/article/Report-Suspect-ID-in-Gilroy-Garlic-Festival-14192736.php; https://www.nytimes.com/2019/07/29/us/gilroy-festival-shooting.html; https://www.latimes.com/california/story/2019-07-29/what-we-know-about-gilroy-garlic-festival-shooting-suspect-santino-william-legan; https://www.washingtonpost.com/nation/2019/07/29/multiple-people-reportedly-injured-shooting-california-food-festival/; https://heavy.com/news/2019/07/santino-william-legan/; https://www.cnn.com/2019/08/06/us/gilroy-festival-shooting/index.html,-,-,36.997191,-121.584819,Mass,2019.0,
38,Virginia Beach municipal building shooting,"Virginia Beach, Virginia",2019-05-31,"DeWayne Craddock, 40, a municipal city worker wielding handguns, a suppressor and high-capacity magazines, killed en masse inside a Virginia Beach muncipal building late in the day on a Friday, before dying in a prolonged gun battle with police. Craddock reportedly had submitted his resignation from his job that morning. He was a veteran of the Virginia Army National Guard, and ""had a shaved head, bodybuilder’s physique and cameras in the windows of his house on a peaceful cul-de-sac,"" according to the Washington Post.",12,4,16,Workplace,40,TBD,-,Yes,-,2 handguns,.45-caliber handguns; noise suppressor (silencer); several high-capacity magazines,Black,M,https://www.washingtonpost.com/local/public-safety/virginia-beach-officials-expect-to-release-additional-details-of-mass-shooting/2019/06/02/a001b856-852f-11e9-a870-b9c411dc4312_story.html; https://pilotonline.com/news/local/virginia-beach-mass-shooting/article_e15ea290-853f-11e9-aa50-93751bba3c3b.html; https://pilotonline.com/news/local/virginia-beach-mass-shooting/article_c8353020-84a1-11e9-aa12-d3bf967368c4.html; https://www.npr.org/2019/06/04/729413913/do-extended-magazines-facilitate-mass-shootings; https://www.nbcnews.com/news/us-news/virginia-beach-shooter-killed-12-using-silencer-high-capacity-magazine-n1012771,-,-,36.75442,-76.060378,Mass,2019.0,
39,Harry Pratt Co. warehouse shooting,"Aurora, Illinois",2019-02-15,"Gary Martin, 45, went on a rampage inside the warehouse in response to being fired from his job and died soon thereafter in a shootout with police. Among his victims were five dead coworkers and five injured police officers. Martin had a felony record and lengthy history of domestic violence; he was able to obtain a gun despite having had his Illinois firearms ownership identification card revoked. According to a report from prosecutors, Martin told a co-worker the morning of the shooting that if he was fired he was going to kill employees and police.",5,6,11,Workplace,45,Yes,(pending),No,-,handgun,"Smith & Wesson handgun, with a green sighting laser",Black,M,https://www.washingtonpost.com/nation/2019/02/16/man-kills-five-warehouse-shooting-spree-shortly-after-being-fired-illinois-police-say/?utm_term=.9863ec4ffc41; https://www.cnn.com/2019/02/17/us/aurora-shooting-termination/index.html; https://www.wsj.com/articles/companies-roll-out-gunshot-detectors-at-the-office-11550575801; https://www.cbsnews.com/news/gary-martin-aurora-illinois-plant-gunman-threatened-violence-if-fired-prosecutors-say/,-,-,41.753725,-88.331057,Mass,2019.0,
40,Pennsylvania hotel bar shooting,"State College, Pennsylvania",2019-01-24,"Jordan Witmer, 21, shot three people at a Ramada Hotel bar near Penn State University, including a former girlfriend he was there with. He then fled the bar, crashed his car about a mile away, and stormed into a random house, fatally shooting an elderly resident and then himself. Witmer, who had a legal carry permit for his handgun, had just finished a three-year stint in the US Army; ten days prior to the attack he had been convicted on drunk driving-related charges in Kentucky, where he'd been stationed. ",3,1,4,Other,21,-,-,Yes,-,handgun,-,White,M,http://www.wistv.com/2019/01/26/details-emerge-about-shooting-rampage-near-penn-state/; https://www.pennlive.com/news/2019/01/state-college-shooter-pleaded-guilty-to-dui-crash-charges-days-before-killings.html; https://www.pennlive.com/news/2019/01/man-who-killed-3-in-state-college-wanted-to-be-a-cop-relatives-say.html,-,-,40.785142,-77.839411,Spree,2019.0,
41,SunTrust bank shooting,"Sebring, Florida",2019-01-23,"Zephen A. Xaver, 21, fatally shot five women inside a bank and then called the police to confess. He was armed with a handgun and wore a bulletproof vest. He reportedly ordered the women to lie down on the floor and shot them execution-style. After a standoff with police, he surrendered and was taken into custody. A week prior, Xaver had quit a job as a prison guard trainee, and authorities said they believed the shooting was ""a random act"" and that roberry did not appear to be a motive. An ex-girlfriend in Indiana told local media she'd been “scared for years” by Xaver’s talk of violence and death, but that her warnings to others (who she did not identify) were not taken seriously. She said she’d first met Xaver in a psychiatric hospital in 2013. In March 2017, Michigan State Police documented an incident in which Xaver indicated he was “possibly thinking of suicide by cop and taking hostages.""",5,0,5,Workplace,21,Yes,Xaver was reported to have a lenghty history of expressing violent desires; an ex-girlfriend said she first met him at a psychiatric hospital in 2013.,Yes,-,handgun,9 mm handgun,White,M,https://wsbt.com/news/local/classmate-says-florida-bank-shooter-who-allegedly-killed-5-attended-bremen-high-school; https://www.washingtonpost.com/nation/2019/01/23/several-people-shot-after-gunman-barricades-himself-florida-bank-authorities-say/; https://www.wptv.com/news/state/accused-bank-shooter-zephen-xaver-fascinated-with-violence-ex-girlfriend-says; https://www.npr.org/2019/01/24/688183605/man-charged-with-murder-after-allegedly-killing-5-women-at-suntrust-bank-in-flor; https://www.wesh.com/article/sebring-bank-shooting-latest/26012533; https://www.apnews.com/c3523d282b2942739240731daaf797c2,https://wsbt.com/news/local/classmate-says-florida-bank-shooter-who-allegedly-killed-5-attended-bremen-high-school; https://www.washingtonpost.com/nation/2019/01/23/several-people-shot-after-gunman-barricades-himself-florida-bank-authorities-say/,-,27.471043,-81.45847,Mass,2019.0,
42,Mercy Hospital shooting,"Chicago, Illinois",2018-11-19,"Juan Lopez, 32, confronted his former fiancé, ER doctor Tamara O'Neal, before shooting her and opening fire on others at the hospital, including a responding police officer, Samuel Jimenez, and a pharmacy employee, Dayna Less. Lopez was fatally shot by a responding SWAT officer. Lopez had a history of domestic abuse against an ex-wife, and was kicked out of a fire department training academy for misconduct against female cadets.",3,0,3,Workplace,32,-,-,-,-,semiautomatic handgun,9mm handgun,Latino,M,https://www.cnn.com/2018/11/19/us/mercy-hospital-chicago-shooting/index.html; https://www.chicagotribune.com/news/local/breaking/ct-met-shooting-mercy-hospital-chicago-20181119-story.html; https://6abc.com/chicago-shooting-4-dead-including-officer-gunman/4720955/; https://chicago.cbslocal.com/2018/11/19/mercy-hospital-gunman-officer-killed; https://abc7ny.com/mercy-hospital-chicago-shooting-4-dead-including-officer-gunman/4720765/; https://abc7chicago.com/mercy-hospital-gunman-what-we-know/4725117/,-,-,41.847667,-87.622009,Mass,2018.0,
43,Thousand Oaks nightclub shooting,"Thousand Oaks, California",2018-11-07,"Ian David Long, 28, dressed in black and armed with a handgun and a “smoke device,” approached the Borderline Bar & Grill — a country music venue popular with college students — close to midnight and opened fire, killing a security guard and then others in the club, including a sheriff’s deputy responding to the attack. Long was found dead at the scene from apparent suicide. He was a former Marine and had a history of interactions with local law enforcement, including a mental health evaluation in which he’d been cleared.",12,22,34,Other,28,Yes,"Per the LATimes: ""Sheriff Geoff Dean said his department had had several interactions with Long, including a call to his home in April for a complaint of disturbing the peace. Deputies at the time said Long was irate and acting irrationally, Dean said. They called in mental health professionals to evaluate him, and they concluded he did not need to be taken into custody.""",Yes,A gun store in Simi Valley,semiautomatic handgun,"Glock 21, .45 caliber; high-capacity magazine",-,M,http://www.latimes.com/local/lanow/la-me-ln-thousand-oaks-20181107-story.html; https://www.washingtonpost.com/nation/2018/11/08/multiple-injuries-reported-bar-shooting-thousand-oaks-calif/; https://www.nytimes.com/2018/11/08/us/shooting-california-thousand-oaks.html; https://www.nytimes.com/2018/11/08/us/ian-david-long-california-shooter.html; https://www.wsj.com/articles/multiple-injuries-reported-in-bar-shooting-in-thousand-oaks-california-1541666907,http://www.latimes.com/local/lanow/la-me-ln-thousand-oaks-20181107-story.html,-,34.176946,-118.874793,Mass,2018.0,
44,Tree of Life synagogue shooting,"Pittsburgh, Pennsylvania",2018-10-27,"Robert D. Bowers, 46, shouted anti-Semitic slurs as he opened fire inside the Tree of Life synagogue during Saturday morning worship. He was armed with an assault rifle and multiple handguns and was apprehended after a standoff with police. His social media accounts contained virulent anti-Semitic content, and references to migrant caravan ""invaders"" hyped by President Trump and the Republican party ahead of the 2018 midterms elections.",11,6,17,Religious,46,-,-,Yes,"(Unclear; investigators confirmed he owned 10 guns in total, all purchased and possessed legally, and had a handgun license)",semiautomatic rifle; semiautomatic handguns,AR-15; Glock .357 (3),White,M,https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html; https://www.cnn.com/us/live-news/pittsburgh-synagogue-shooting/h_0c180f52c8d032fd47eef570cc5065c2; https://www.nytimes.com/2018/10/30/us/ar15-gun-pittsburgh-shooting.html,-,-,40.443898,-79.921398,Mass,2018.0,
45,Rite Aid warehouse shooting,"Perryman, Maryland",2018-09-20,"Snochia Moseley, 26, reportedly a disgruntled employee, shot her victims outside the building and on the warehouse floor; she later died from a self-inflicted gunshot at a nearby hospital. (No law enforcement officers responding to her attack fired shots.)",3,3,6,Workplace,26,-,-,Yes,-,semiautomatic handgun,Glock 9 mm,Black,F,http://www.baltimoresun.com/news/maryland/crime/bs-md-harford-shooting-20180920-story.html; https://www.washingtonpost.com/local/public-safety/maryland-sheriffs-office-says-multiple-victims-in-shooting/2018/09/20/9d2c6464-bcda-11e8-be70-52bd11fe18af_story.html; https://www.cnn.com/2018/09/20/us/maryland-shooting/index.html; https://heavy.com/news/2018/09/snochia-moseley/,-,-,39.455658,-76.208485,Mass,2018.0,
